name,ring,quadrant,isNew,description
Rust,Trial,languages,TRUE,"Primary programming language for all organization projects (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900001%3A-Primary-Programming-Language'>ADR-0001</a>)"
Tokio,Trial,frameworks,TRUE,"Async runtime for Rust applications (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900001%3A-Primary-Programming-Language'>ADR-0001</a>)"
Rustfmt,Trial,tools,TRUE,"Official Rust code formatter for consistent code style (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900002%3A-Linting-and-Formatting-Standards'>ADR-0002</a>)"
Clippy,Trial,tools,TRUE,"Official Rust linter for code quality (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900002%3A-Linting-and-Formatting-Standards'>ADR-0002</a>)"
Proptest,Trial,tools,TRUE,"Property-based testing for Rust (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900003%3A-Quality-and-Testing-Standards'>ADR-0003</a>)"
Cargo-tarpaulin,Trial,tools,TRUE,"Code coverage reporting for Rust (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900003%3A-Quality-and-Testing-Standards'>ADR-0003</a>)"
Cargo-insta,Trial,tools,TRUE,"Snapshot testing for Rust (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900003%3A-Quality-and-Testing-Standards'>ADR-0003</a>)"
Playwright,Trial,tools,TRUE,"UI testing for web and GUI applications (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900003%3A-Quality-and-Testing-Standards'>ADR-0003</a>)"
Changesets,Trial,techniques,TRUE,"Version management and changelog generation (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900004%3A-Release-Management'>ADR-0004</a>)"
Conventional Commits,Trial,techniques,TRUE,"Standardized commit message format (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900004%3A-Release-Management'>ADR-0004</a>)"
Cargo-audit,Trial,tools,TRUE,"Dependency vulnerability scanning for Rust (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900005%3A-Security-Vulnerability-Scanning-Tools'>ADR-0005</a>)"
GitHub Actions,Trial,tools,TRUE,"CI/CD platform for all projects (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900007%3A-Continuous-Integration-and-Deployment'>ADR-0007</a>)"
Codecov,Trial,tools,TRUE,"Code coverage reporting and insights (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900007%3A-Continuous-Integration-and-Deployment'>ADR-0007</a>)"
Semgrep,Trial,tools,TRUE,"Static Application Security Testing (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900007%3A-Continuous-Integration-and-Deployment'>ADR-0007</a>)"
Mise-en-place,Trial,tools,TRUE,"Development environment management (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900008%3A-Package-Management-and-Documentation'>ADR-0008</a>, <a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900009%3A-Package-Management-and-Documentation'>ADR-0009</a>)"
Bun,Trial,tools,TRUE,"JavaScript runtime and package manager (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900008%3A-Package-Management-and-Documentation'>ADR-0008</a>)"
Lefthook,Trial,tools,TRUE,"Git hooks management (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900008%3A-Package-Management-and-Documentation'>ADR-0008</a>)"
MDX,Trial,techniques,TRUE,"Markdown with JSX for documentation (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900008%3A-Package-Management-and-Documentation'>ADR-0008</a>)"
Dagger,Trial,tools,TRUE,"CI/CD environment compatibility (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900009%3A-Package-Management-and-Documentation'>ADR-0009</a>)"
Sigstore,Trial,tools,TRUE,"Code signing solution (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900009%3A-Workspace-Management'>ADR-0009</a>)"
GitHub Releases,Trial,techniques,TRUE,"Primary distribution method (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900010%3A-Code-Signing-and-Distribution'>ADR-0010</a>)"
RedHat Style Guide,Trial,techniques,TRUE,"Documentation style standard (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900011%3A-Documentation-Style'>ADR-0011</a>)"
Vale CLI,Trial,tools,TRUE,"Documentation linting tool (<a href='https://github.com/HibiscusCollective/.github/wiki/ADR%E2%80%900011%3A-Documentation-Style'>ADR-0011</a>)"
